TSid,dataSetName,variableName,spreadsheetKey,worksheetKey
LPD5b01e158,Asia-HBMXJP,year,1CGC-rbCPcGvwbiSNkZpWciTCkiCPssM52hU1q5l0E50,oplnl00
LPD47c8e274,Asia-HEBQIN,year,1gOVqeWLCjIUNC9DyyQrkQ4Pvwvtlfvtgw1DyMJcYNhA,ovxllga
LPD90151260,Asia-HENTLS,year,1SZzNXkqUxfpCoWb5iqIGH-Vy3gjdMbSvxrwiwiS5xNM,obldskk
LPDb921673d,Asia-HOCKJT,year,1K0roYa5JK0791sAObv-11qYxTg4wO3375ohHeF44asE,ockexd
LPD90e701fd,Asia-HORBLS,year,1PYzvNxc3RMzCbvTdWeWfxBO6A_7oM5mkryzz8WB5Al4,ovl1a58
LPD90571757,Asia-HRPCSM,year,1DDNDds7-dgi0Vte4TltIA-HQyfF0aOokiJWS_i5n_gI,or2hjxx
LPD7105874e,Asia-HSE,year,1GrDn5oka70qF33WysAk-UURlKxT7kI3_fhhN-liwyao,o77ldew
LPDd7f73c74,Asia-HSS,year,1rRYEigKzUHvppMG46EwXxvE_XiGF7tXDsyO6e-7e_Yk,orr9lff
LPDf28fa977,Asia-HSW,year,1-KDK8Fi37_Ml9HGJcQ2F-ktiS3x_QHsDePRMFsiuBec,ob806yx
LPDe6374797,Asia-HUASPI,year,1tz06dWI9kNR55Asl_xvGstmxpdgTuo0IKnM-ItvgVDQ,o4wvzv8
LPD6d568132,Asia-HXBURU,year,1Sg81LbHC7JlO1B6cK-t43kDTnON9zSMbuzgWhbSPe8A,oqtdest
LPD1e0d8189,Asia-HYGJUP,year,1jPsO0iyk5hRqXRW_w_yd7H3UidpEGhWduXoxdnm8cKE,o3m4zgb
LPD1fa7d4d5,Asia-HeshangCave,year,154oAOBLi9erm819gugCxxXyQ_mkpMTKuCj-FVXUptqo,ol8vrep
LPDf4f87fc5,Asia-HeshangCave,age,154oAOBLi9erm819gugCxxXyQ_mkpMTKuCj-FVXUptqo,ol8vrep
LPD00c768e6,Asia-Hongyuan,year,1s33pjeui5Q2ZPqMfI49QKJMrH9l0i98U0_VwNNV_wdE,oz9e3dx
LPD91524643,Asia-Hongyuan,age,1s33pjeui5Q2ZPqMfI49QKJMrH9l0i98U0_VwNNV_wdE,oz9e3dx
LPD9c3eb7f7,Asia-HunanJiangsu.Zhang.1980,year,1b8jkqGboTr-eyGsE-mNhiz_EbbVzRcpXyLwuMs6ix4Y,o829wus
LPD3dd55d80,Asia-Hushre,year,1UeZ4PRG55QWlsSDSCryWK6svqkniL4z-8bACPEYI7DE,oy13kfk
LPDc7456c0b,Asia-ISBCDD,year,1LkWomzKImK-KHAb5U9BwVX2XifN5lp0nQOHDVRBbPc8,okrkp32
LPDd4a391f9,Asia-JANCD,year,1c4zJQUKwRCgA1aoN9sdjjA8CUskKkFYszjnbQez2U5A,oagdaph
LPD60d9d80e,Asia-JOTPIG,year,1vamVhW-Xw-i9vqPeOy5PwLAon79Vd-drWAdGdENLnsM,oac5v3y
LPD6b2cecb6,Asia-JUTPCS,year,1PCP0BtnoERcbjwCrfaTF9TTyUPCKRv92RZ0oRJ47Pis,oj89zwq
LPDa775a207,Asia-Jabe.Ovchinnikov.2000,year,1Kltzm3ujxjUcpK-o-wlWA4itonTYrnoBZ55Bt0cfdU4,o9txpb9
LPD77aefe9e,Asia-KARPCS,year,1a8BCxA6pFLETh4fObSadAUy0U_u06Lyz5-FRwNk5gcU,op61haq
LPD1507b371,Asia-KATKUW,year,1T_wWmyJuMileM1RG23LRg4CQmM2EPhQLRMoLDO-IABc,o1yphmk
